	rxn	precursors	products	uspto_prediction	uspto_can_prediction	uspto_score	carbo_prediction	carbo_can_prediction	carbo_score
jacs_11	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1O.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccncc1>>C[C@@H]1O[C@H](Sc2ccccc2)[C@H](OS(=O)(=O)C(F)(F)F)[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1O.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccncc1	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](OS(=O)(=O)C(F)(F)F)[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	0.646203545	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](OS(=O)(=O)C(F)(F)F)[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	C[C@@H]1O[C@H](Sc2ccccc2)[C@H](OS(=O)(=O)C(F)(F)F)[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	0.888813839
jacs_12	CCCC[N+](CCCC)(CCCC)CCCC.C[C@@H]1O[C@H](Sc2ccccc2)[C@H](OS(=O)(=O)C(F)(F)F)[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F.[N-]=[N+]=[N-]>>C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	CCCC[N+](CCCC)(CCCC)CCCC.C[C@@H]1O[C@H](Sc2ccccc2)[C@H](OS(=O)(=O)C(F)(F)F)[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F.[N-]=[N+]=[N-]	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F	0.89909795	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@@H]1N=[N+]=[N-]	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@@H]1N=[N+]=[N-]	0.998981042
jacs_13	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F.O>>C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@H]1OS(=O)(=O)C(F)(F)F.O	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@@H](O)[C@H]1OS(=O)(=O)C(F)(F)F	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@@H](O)[C@H]1OS(=O)(=O)C(F)(F)F	0.37611639	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1	C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1	0.991379912
jacs_14	C=CCBr.C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1.[NaH]>>C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	C=CCBr.C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1.[NaH]	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	0.550359168	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	0.734959059
jacs_15	BrCc1ccccc1.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[Sn](=O)CCCC.O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1O.[Br-]>>O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1	BrCc1ccccc1.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[Sn](=O)CCCC.O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1O.[Br-]	O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1	c1ccc(CO[C@H]2[C@H](O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@@H]2OCc2ccccc2)cc1		0.145344434	O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1	O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1	0.977800621
jacs_16	O=C(Cl)c1ccccc1.O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1.c1ccncc1>>O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1	O=C(Cl)c1ccccc1.O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1.c1ccncc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1	0.961830017	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1	0.859491047
jacs_17	CC[SiH](CC)CC.O=C(O)C(F)(F)F.O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1>>O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OCc1ccccc1)c1ccccc1	CC[SiH](CC)CC.O=C(O)C(F)(F)F.O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H](CO)[C@@H](O)[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H](CO)[C@@H](O)[C@@H]1OCc1ccccc1)c1ccccc1	0.461553586	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1OCc1ccccc1)c1ccccc1	0.997926956
jacs_18	BrCc1ccccc1.CC(=O)N(C)C.O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OCc1ccccc1)c1ccccc1.[NaH]>>O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1)c1ccccc1	BrCc1ccccc1.CC(=O)N(C)C.O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OCc1ccccc1)c1ccccc1.[NaH]	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1)c1ccccc1	0.895777204	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1)c1ccccc1	O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1)c1ccccc1	0.999933245
jacs_19	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1.C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O)[C@H]1OCc1ccccc1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F.O=C1CCC(=O)N1I>>C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1.C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O)[C@H]1OCc1ccccc1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F.O=C1CCC(=O)N1I	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	C[C@H]1O[C@H](OCCCNC(=O)OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](O[C@@H]2O[C@H](C)[C@H](OCc3ccccc3)[C@H](O)[C@H]2NC(=O)C(Cl)(Cl)Cl)[C@H]1OC(=O)c1ccccc1	C[C@H]1O[C@H](OCCCNC(=O)OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](O[C@@H]2O[C@H](C)[C@H](OCc3ccccc3)[C@H](O)[C@H]2NC(=O)C(Cl)(Cl)Cl)[C@H]1OC(=O)c1ccccc1	0.085107874	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O[C@H]2O[C@H](C)[C@H](OC(=O)c3ccccc3)[C@H](C)O[C@H]2N=[N+]=[N-])[C@H]1OCc1ccccc1	C[C@@H]1O[C@@H](N=[N+]=[N-])[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@H](C)[C@@H]1OC(=O)c1ccccc1	0.195976644
jacs_20	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1.CO.Cl[Pd]Cl>>C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1	C=CCO[C@H]1[C@H](N=[N+]=[N-])[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1.CO.Cl[Pd]Cl	C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1	C=CCO[C@H]1[C@H](N)[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCN)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	C=CCO[C@H]1[C@H](N)[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCN)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	0.089799292	C[C@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@H](N)[C@H](O)[C@@H]1OC(=O)c1ccccc1	C[C@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@H](N)[C@H](O)[C@@H]1OC(=O)c1ccccc1	0.532359164
jacs_21	CC(=O)Cl.C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1.c1ccncc1>>CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	CC(=O)Cl.C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1OC(=O)c1ccccc1.c1ccncc1	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	0.64146037	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	0.710308909
jacs_22	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1.C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O)[C@H]1OCc1ccccc1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F.O=C1CCC(=O)N1I>>CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](Sc2ccccc2)O[C@@H](C)[C@H]1OC(=O)c1ccccc1.C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](O)[C@H]1OCc1ccccc1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F.O=C1CCC(=O)N1I	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	C[C@H]1O[C@H](OCCCNC(=O)OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](O[C@@H]2O[C@H](C)[C@H](OCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1	C[C@H]1O[C@@H](O[C@H]2[C@@H](OC(=O)c3ccccc3)[C@@H](C)O[C@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2N=[N+]=[N-])[C@H](OC(=O)c2ccccc2)[C@@H](OC(=O)c2ccccc2)[C@H]1OCc1ccccc1	0.138016246	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](O[C@@H]2O[C@H](C)[C@@H](OCc3ccccc3)[C@H](O)[C@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@@H](O[C@@H]2O[C@H](C)[C@@H](OCc3ccccc3)[C@H](O)[C@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1	0.178101123
jacs_23	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1.CO.C[O-].[Na+]>>C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1O	CC(=O)O[C@H]1[C@H](N=[N+]=[N-])[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)O[C@@H](C)[C@H]1OC(=O)c1ccccc1.CO.C[O-].[Na+]	C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1O	C[C@@H]1O[C@H](OCCCNC(=O)OCc2ccccc2)[C@H](N)[C@@H](O[C@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@H]2N=[N+]=[N-])[C@H]1OCc1ccccc1	C[C@@H]1O[C@H](OCCCNC(=O)OCc2ccccc2)[C@H](N)[C@@H](O[C@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@H]2N=[N+]=[N-])[C@H]1OCc1ccccc1	0.198780544	C[C@H]1O[C@@H](OCCCNC(=O)OCc2ccccc2)[C@H](N)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@H](O)[C@H]2N=[N+]=[N-])[C@H]1OCc1ccccc1	C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2N)[C@H](N=[N+]=[N-])[C@@H](O)[C@@H]1O	0.377558581
jacs_24	C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1O.C[Si](C)(C)OS(=O)(=O)C(F)(F)F.ClCCl.O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1.O=C1CCC(=O)N1I>>C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O[C@@H]2O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@@H]1O	C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1O.C[Si](C)(C)OS(=O)(=O)C(F)(F)F.ClCCl.O=C(O[C@H]1[C@H](Sc2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1.O=C1CCC(=O)N1I	C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O[C@@H]2O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@@H]1O	C[C@@H]1O[C@@H](O[C@H]2[C@H](OCc3ccccc3)O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@@H]2OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1O	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](OCc3ccccc3)[C@@H]3O[C@H](c4ccccc4)OC[C@H]3O[C@H]2OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O)[C@@H]1O	0.218967238	C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O[C@@H]2O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@@H]1O	C[C@@H]1O[C@@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](C)O[C@@H](OCCCNC(=O)OCc3ccccc3)[C@@H]2NC(=O)C(Cl)(Cl)Cl)[C@@H](N=[N+]=[N-])[C@H](O[C@@H]2O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@@H]1O	0.77372529
